time,latitude,longitude,depth,species_nr,scientific_name,common_name,length_fish,number_seen
2014-07-26T00:00:00Z,24.58669,-82.91685,9.2,202,Epinephelus morio,red grouper,48,1
2014-07-26T00:00:00Z,24.56501,-82.95475,20,202,Epinephelus morio,red grouper,45,1
2014-07-20T00:00:00Z,24.6345,-82.8106,6.7,202,Epinephelus morio,red grouper,34,1
2014-06-06T00:00:00Z,24.6625,-82.85211,12.4,202,Epinephelus morio,red grouper,33,1
2014-06-04T00:00:00Z,24.63216,-83.09573,21.3,202,Epinephelus morio,red grouper,30,1
2014-07-26T00:00:00Z,24.57245,-82.94642,15.9,205,Hypoplectrus gemma,blue hamlet,7,1
2014-07-20T00:00:00Z,24.62207,-82.8299,12.2,205,Hypoplectrus gemma,blue hamlet,7,1
2014-07-20T00:00:00Z,24.65527,-82.78433,14.8,205,Hypoplectrus gemma,blue hamlet,9,1
2014-07-21T00:00:00Z,24.58591,-82.98689,18,205,Hypoplectrus gemma,blue hamlet,6,1
2014-06-09T00:00:00Z,24.57074,-82.90636,16.8,205,Hypoplectrus gemma,blue hamlet,10,1
2014-06-08T00:00:00Z,24.65862,-82.93813,23.5,205,Hypoplectrus gemma,blue hamlet,9,1
2014-06-03T00:00:00Z,24.72068,-82.85492,15.1,205,Hypoplectrus gemma,blue hamlet,8,1
2014-06-02T00:00:00Z,24.72845,-82.80428,16.9,205,Hypoplectrus gemma,blue hamlet,9,1
2014-07-22T00:00:00Z,24.64143,-83.10198,22.3,205,Hypoplectrus gemma,blue hamlet,3,1
2014-07-25T00:00:00Z,24.67763,-83.03924,17.9,205,Hypoplectrus gemma,blue hamlet,4,1
2014-06-04T00:00:00Z,24.66305,-83.09585,21.5,205,Hypoplectrus gemma,blue hamlet,8,1
2014-06-06T00:00:00Z,24.66353,-82.83729,6,205,Hypoplectrus gemma,blue hamlet,9,1
2014-06-08T00:00:00Z,24.64361,-82.96174,21,205,Hypoplectrus gemma,blue hamlet,6,1
2014-06-08T00:00:00Z,24.663,-82.93415,19.8,205,Hypoplectrus gemma,blue hamlet,7,1
2014-07-27T00:00:00Z,24.66554,-82.92732,16.2,205,Hypoplectrus gemma,blue hamlet,7,1
2014-07-21T00:00:00Z,24.61073,-82.9382,13,205,Hypoplectrus gemma,blue hamlet,6,1
2014-06-09T00:00:00Z,24.62695,-82.85535,12.7,207,Hypoplectrus hybrid,hybrid hamlet,10,1
2014-07-27T00:00:00Z,24.65171,-82.95313,16.8,207,Hypoplectrus hybrid,hybrid hamlet,7,1
2014-06-08T00:00:00Z,24.63098,-82.9682,18.6,208,Hypoplectrus indigo,indigo hamlet,6,1
2014-06-02T00:00:00Z,24.71294,-82.79286,13,209,Hypoplectrus nigricans,black hamlet,6,1
2014-07-24T00:00:00Z,24.68171,-82.88595,15.7,209,Hypoplectrus nigricans,black hamlet,8,1
2014-07-21T00:00:00Z,24.60466,-82.94183,13,209,Hypoplectrus nigricans,black hamlet,13,1
2014-07-25T00:00:00Z,24.67933,-83.05538,16.8,209,Hypoplectrus nigricans,black hamlet,7,1
2014-06-08T00:00:00Z,24.66306,-82.93407,19.5,209,Hypoplectrus nigricans,black hamlet,13,1
2014-06-07T00:00:00Z,24.65174,-83.0078,23.5,209,Hypoplectrus nigricans,black hamlet,8,1
2014-06-02T00:00:00Z,24.73296,-82.79597,17.9,210,Hypoplectrus puella,barred hamlet,6,1
2014-07-27T00:00:00Z,24.62442,-82.96305,21.8,210,Hypoplectrus puella,barred hamlet,8,1
2014-07-20T00:00:00Z,24.62705,-82.8376,10.7,210,Hypoplectrus puella,barred hamlet,8,1
2014-07-20T00:00:00Z,24.62705,-82.8376,10.7,210,Hypoplectrus puella,barred hamlet,9,1
2014-07-20T00:00:00Z,24.65893,-82.78705,7,210,Hypoplectrus puella,barred hamlet,7,1
2014-06-03T00:00:00Z,24.72117,-82.83505,12.2,210,Hypoplectrus puella,barred hamlet,9,1
2014-06-02T00:00:00Z,24.72245,-82.78831,13.6,210,Hypoplectrus puella,barred hamlet,9,1
2014-07-20T00:00:00Z,24.65227,-82.78785,10,210,Hypoplectrus puella,barred hamlet,10,1
2014-07-20T00:00:00Z,24.66045,-82.78803,7.2,210,Hypoplectrus puella,barred hamlet,7,1
2014-07-20T00:00:00Z,24.63626,-82.84566,14.2,210,Hypoplectrus puella,barred hamlet,3,1
2014-07-21T00:00:00Z,24.59579,-82.96488,13,210,Hypoplectrus puella,barred hamlet,12,1
2014-07-27T00:00:00Z,24.6309,-82.96887,23,210,Hypoplectrus puella,barred hamlet,9,1
2014-06-08T00:00:00Z,24.66054,-82.93757,15.9,210,Hypoplectrus puella,barred hamlet,9,1
2014-06-08T00:00:00Z,24.6703,-82.92753,16.5,210,Hypoplectrus puella,barred hamlet,7,1
2014-06-08T00:00:00Z,24.67044,-82.92766,14.1,210,Hypoplectrus puella,barred hamlet,6,1
2014-06-02T00:00:00Z,24.72845,-82.80428,16.9,210,Hypoplectrus puella,barred hamlet,9,1
2014-06-02T00:00:00Z,24.72987,-82.80102,17.4,210,Hypoplectrus puella,barred hamlet,9,1
2014-06-02T00:00:00Z,24.72981,-82.80103,16.6,210,Hypoplectrus puella,barred hamlet,6,1
2014-07-24T00:00:00Z,24.63408,-82.90737,9.9,210,Hypoplectrus puella,barred hamlet,8,1
2014-06-08T00:00:00Z,24.6376,-82.95759,14.3,210,Hypoplectrus puella,barred hamlet,6,1
